UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RS,43,16105,Ronda Alta,10675
SC,42,07502,Indaial,65000
RS,43,23507,Vista Alegre,2882
GO,52,07535,Faina,6975
RN,24,04507,Guamaré,14975
PA,15,05551,Pau D'Arco,5436
GO,52,20157,São Luiz do Norte,5026
AM,13,00102,Anori,19749
RS,43,15552,Rio dos Índios,3366
RS,43,03905,Campo Bom,64553
RS,43,20677,Sinimbu,10404
MG,31,15003,Cascalho Rico,3055
SP,35,18909,Guzolândia,5142
PR,41,02406,Bandeirantes,32562
CE,23,13302,Tauá,57914
MG,31,02852,Angelândia,8502
SP,35,38303,Piquerobi,3686
RS,43,15057,Porto Mauá,2546
SC,42,02073,Balneário Gaivota,10128
SP,35,23909,Itu,168643
SP,35,43238,Ribeirão dos Índios,2244
MG,31,71501,Mathias Lobato,3357
PR,41,10003,Iguaraçu,4309
PA,15,03754,Jacareacanga,41.487(1)
PI,22,06001,Marcos Parente,4479
SC,42,07106,Ilhota,13676
BA,29,25600,Presidente Dutra,15699
GO,52,03609,Brazabrantes,3565
SP,35,48005,Santo Antônio de Posse,22597
MG,31,13107,Caranaíba,3309
MG,31,22702,Dom Silvério,5349
PB,25,09404,Mogeiro,13300
ES,32,00201,Alegre,32175
GO,52,21452,Trombas,3567
MG,31,06903,Bicas,14481
MS,50,03504,Douradina,5775
GO,52,09408,Guarani de Goiás,4174
MA,21,02002,Bom Jardim,40898
RN,24,07005,Luís Gomes,10171
SP,35,03901,Arujá,85199
SP,35,52809,Taboão da Serra,275948
SP,35,51900,Severínia,16962
MG,31,32404,Itajubá,96523
SC,42,18301,Três Barras,19046
MA,21,09106,Presidente Dutra,46970
BA,29,05503,Caldeirão Grande,13643
MA,21,01350,Bacurituba,5544
BA,29,08002,Coaraci,19383
RS,43,05173,Cerro Grande do Sul,11377
MG,31,21407,Desterro de Entre Rios,7317
MG,31,17702,Conceição do Rio Verde,13672
SP,35,02804,Araçatuba,193828
RJ,33,00902,Cambuci,14824
MG,31,41603,Mercês,10842
MA,21,09700,Sambaíba,5561
PI,22,02083,Cajueiro da Praia,7483
SP,35,18404,Guaratinguetá,119753
SP,35,34203,Orindiúva,6614
SP,35,26001,Junqueirópolis,20211
RS,43,08433,Forquetinha,2523
AL,27,02801,Flexeiras,12943
MG,31,40902,Matipó,18816
MG,31,23528,Durandé,7852
PR,41,04808,Cascavel,316226
RJ,33,00209,Araruama,124940
RN,24,11429,Santana do Seridó,2688
RS,43,11007,Jaguarão,28230
PE,26,10004,Palmares,62571
MG,31,57708,Santa Juliana,13165
PB,25,13802,Santa Teresinha,4582
PI,22,00277,Alegrete do Piauí,4835
PI,22,01929,Bonfim do Piauí,5564
SP,35,48500,Santos,434359
MS,50,03157,Coronel Sapucaia,14916
AP,16,00279,Laranjal do Jari,46639
GO,52,20454,Senador Canedo,102947
PB,25,11806,Pirpirituba,10570
PR,41,07801,Floraí,5114
PR,41,28658,Virmond,4090
SP,35,36406,Paulicéia,7065
BA,29,17003,Itiúba,37500
SP,35,02705,Apiaí,25077
SP,35,08801,Cafelândia,17573
PI,22,03701,Esperantina,38983
PR,41,15507,Marumbi,4760
RS,43,21667,Três Cachoeiras,10859
SC,42,07858,Irati,2004
MT,51,06265,Novo Mundo,8549
PI,22,09872,São João da Fronteira,5919
PR,41,06803,Cruz Machado,18858
SP,35,09700,Campos do Jordão,51157
CE,23,10951,Pires Ferreira,10730
ES,32,00136,Águia Branca,10075
BA,29,15502,Itajuípe,21697
SP,35,17406,Guaíra,40053
PI,22,04808,Ipiranga do Piauí,9626
PR,41,14005,Mamborê,13870
SP,35,00600,Águas de São Pedro,3205
SP,35,47304,Santana de Parnaíba,129261
PR,41,00301,Agudos do Sul,9073
SP,35,09957,Canas,4914
SP,35,19105,Iacanga,11206
PI,22,00905,Aroazes,5755
MA,21,12308,Tuntum,41102
MG,31,70503,Urucânia,10587
RS,43,18440,São Jorge,2844
MS,50,03801,Fátima do Sul,19200
PI,22,10201,São José do Piauí,6606
GO,52,04003,Cabeceiras,7882
BA,29,19009,Lajedinho,4032
AC,12,00393,Porto Walter,11059
PE,26,02605,Brejo da Madre de Deus,49624
BA,29,22003,Mucuri,41587
AM,13,00805,Borba,39885
RO,11,00072,Corumbiara,8749
BA,29,03102,Barra do Rocha,6338
RS,43,21436,Terra de Areia,10711
PR,41,11258,Itaperuçu,27131
GO,52,01504,Aporé,4110
MT,51,08808,Nova Guarita,4523
MG,31,11903,Cana Verde,5736
MT,51,06752,Pontes e Lacerda,43538
MG,31,01805,Alpercata,7497
SE,28,06404,Santana do São Francisco,7680
RS,43,20107,Sarandi,23222
BA,29,27408,Salvador,2938092
BA,29,06105,Canápolis,10146
BA,29,11808,Guaratinga,22251
PI,22,07934,Pedro Laurentino,2488
PB,25,04207,Catingueira,4927
MA,21,02804,Carolina,23833
RS,43,12500,Mostardas,12758
MA,21,06672,Milagres do Maranhão,8306
MG,31,70529,Urucuia,15833
MG,31,68408,Tarumirim,14670
CE,23,11264,Quiterianópolis,20777
MG,31,70750,Varjão de Minas,6857
SP,35,22802,Itaporanga,15140
SC,42,10555,Marema,1952
PA,15,01253,Bannach,3233
SC,42,06306,Guabiruba,22174
MG,31,70909,Varzelândia,19712
SP,35,54953,Tuiuti,6612
CE,23,12205,Santa Quitéria,43359
MG,31,26000,Florestal,7278
PR,41,19608,Pitanga,32215
RS,43,15149,Presidente Lucena,2729
SC,42,02156,Belmonte,2705
PA,15,05536,Parauapebas,196259
RN,24,00901,Antônio Martins,7221
RS,43,22251,Tupandi,4421
CE,23,03709,Caucaia,358164
GO,52,07253,Doverlândia,7795
SE,28,03708,Macambira,6873
RS,43,06973,Erebango,3065
RN,24,02105,Campo Redondo,11156
RN,24,01800,Brejinho,12616
MG,31,16803,Coluna,9162
PR,41,05409,Chopinzinho,19951
SC,42,00903,Angelina,4998
MT,51,03056,Cláudia,11632
MA,21,07308,Nova Iorque,4589
SP,35,37701,Piacatu,5793
MT,51,03957,Glória D'Oeste,2986
PB,25,12507,Queimadas,43945
SP,35,52908,Taciba,6152
SP,35,39103,Pirapora do Bom Jesus,17913
BA,29,32606,Urandi,17329
PE,26,05103,Custódia,36474
BA,29,07608,Central,17935
SP,35,34906,Pacaembu,14024
MS,50,06408,Pedro Gomes,7738
AL,27,02108,Colônia Leopoldina,21786
BA,29,21104,Medeiros Neto,23535
RN,24,04408,Grossos,10293
MA,21,11706,São Vicente Ferrer,20800
AL,27,08303,São José da Laje,24140
AL,27,00409,Atalaia,47528
TO,17,03073,Barra do Ouro,4503
PR,41,06555,Corumbataí do Sul,3682
PR,41,28708,Vitorino,6853
SP,35,45209,Salto,115193
MS,50,02100,Bela Vista,24223
MT,51,03007,Chapada dos Guimarães,18906
AL,27,08105,Santana do Mundaú,10952
RS,43,12203,Maximiliano de Almeida,4834
SC,42,15208,Romelândia,5120
MG,31,30655,Indaiabira,7525
BA,29,25501,Prado,29273
MA,21,11573,São Pedro dos Crentes,4583
MG,31,43104,Monte Carmelo,48096
SP,35,57154,Zacarias,2605
SP,35,48906,São Carlos,243765
TO,17,03107,Barrolândia,5622
MA,21,02606,Cândido Mendes,19827
PR,41,25456,São José das Palmeiras,3832
RJ,33,00258,Arraial do Cabo,29077
MA,21,08306,Penalva,37833
MG,31,57658,Santa Helena de Minas,6387
SP,35,06805,Bocaina,11926
SP,35,55000,Tupã,65705
MT,51,03379,Cotriguaçu,18209
MG,31,68606,Teófilo Otoni,141502
SE,28,06008,Ribeirópolis,18503
MA,21,05989,Lajeado Novo,7427
RS,43,08003,Faxinal do Soturno,6868
ES,32,03205,Linhares,166491
SP,35,56800,Viradouro,18542
MS,50,08305,Três Lagoas,115561
MG,31,28808,Guidoval,7313
PI,22,04006,Francinópolis,5265
MG,31,57401,Santa Cruz do Escalvado,4981
SP,35,41208,Presidente Bernardes,13494
BA,29,33109,Várzea do Poço,9404
MS,50,04007,Glória de Dourados,9976
PR,41,19301,Pinhão,32152
RN,24,05405,Japi,5306
AL,27,02207,Coqueiro Seco,5895
MA,21,04107,Fortaleza dos Nogueiras,12390
CE,23,11231,Potiretama,6337
RS,43,19356,São Pedro da Serra,3612
BA,29,11600,Governador Mangabeira,21435
RS,43,12427,Mormaço,2968
PE,26,05459,Fernando de Noronha,2974
SC,42,13104,Piratuba,4209
PI,22,03230,Currais,4859
RS,43,09159,Gramado Xavier,4232
MG,31,23809,Engenheiro Navarro,7369
BA,29,04803,Caatiba,10044
PI,22,01988,Brejo do Piauí,3845
RS,43,17509,Santo Ângelo,79040
MG,31,13305,Carangola,33513
GO,52,01603,Araçu,3753
PR,41,24905,São João do Caiuá,6031
PR,41,10102,Imbituva,31391
SP,35,10104,Cândido Rodrigues,2786
PE,26,04205,Catende,41865
RJ,33,04003,Piraí,28088
RS,43,10363,Imigrante,3152
MG,31,52501,Pouso Alegre,145535
MG,31,10608,Cambuí,28924
RS,43,23804,Xangri-lá,14430
TO,17,20937,Taipas do Tocantins,2112
MG,31,21704,Diogo de Vasconcelos,3918
SC,42,15505,Santa Cecília,16606
GO,52,19902,São Francisco de Goiás,6354
BA,29,20809,Marcionílio Souza,10941
SC,42,16255,São João do Oeste,6285
SC,42,06702,Herval d'Oeste,22324
TO,17,02703,Aurora do Tocantins,3709
RS,43,04408,Canela,42746
SP,35,41109,Presidente Alves,4167
BA,29,00801,Alcobaça,23331
MA,21,02374,Cachoeira Grande,8878
RS,43,22525,Vale Verde,3448
ES,32,02652,Irupi,13240
PI,22,06605,Monte Alegre do Piauí,10446
MG,31,65602,Senador Cortes,2048
SC,42,16057,São Cristovão do Sul,5412
RN,24,05702,Jardim do Seridó,12566
BA,29,21401,Mirangaba,18588
PE,26,08503,Lagoa de Itaenga,21308
BA,29,26905,Rio do Pires,12109
AM,13,02504,Manacapuru,95330
SP,35,13504,Cubatão,127887
PE,26,10202,Panelas,26440
RN,24,12609,São Paulo do Potengi,17407
ES,32,00359,Alto Rio Novo,7979
GO,52,19258,Santa Fé de Goiás,5253
TO,17,02406,Arraias,10752
MG,31,47105,Pará de Minas,91969
TO,17,20200,São Miguel do Tocantins,11754
PE,26,05905,Gameleira,30426
SP,35,48401,Santópolis do Aguapeí,4650
PR,41,24806,São João,10676
PI,22,02091,Caldeirão Grande do Piauí,5680
PI,22,10375,São Luis do Piauí,2597
PA,15,06005,Prainha,29132
SP,35,22604,Itapira,73410
SC,42,01802,Atalanta,3268
PB,25,12788,Riacho de Santo Antônio,1955
SP,35,15509,Fernandópolis,68399
BA,29,21203,Miguel Calmon,27600
MG,31,43005,Monte Belo,13449
PI,22,02307,Canto do Buriti,20770
TO,17,20903,Taguatinga,16386
SP,35,14007,Dobrada,8669
MG,31,33204,Itanhomi,12368
BA,29,28406,Santa Rita de Cássia,28988
MA,21,00550,Amapá do Maranhão,6844
MT,51,07883,Serra Nova Dourada,1548
AL,27,04401,Major Isidoro,20126
MS,50,03488,Dois Irmãos do Buriti,11049
RS,43,11239,Lagoa Bonita do Sul,2839
MG,31,02209,Alvarenga,4245
SP,35,19907,Iepê,8070
SC,42,12106,Palmitos,16257
PR,41,04402,Cândido de Abreu,16198
MA,21,12704,Vargem Grande,55710
SP,35,38006,Pindamonhangaba,162327
PR,41,07546,Espigão Alto do Iguaçu,4494
MG,31,44003,Mutum,27512
MA,21,08702,Pio XII,21007
GO,52,04854,Campo Limpo de Goiás,7219
MG,31,19104,Corinto,24407
AL,27,00607,Barra de São Miguel,8336
MT,51,07404,São Pedro da Cipa,4493
PR,41,27957,Tupãssi,8269
PR,41,22503,Roncador,10921
AL,27,06406,Pão de Açúcar,24834
MG,31,09808,Cachoeira Dourada,2676
MS,50,07208,Rio Brilhante,35465
SP,35,14205,Dolcinópolis,2139
MA,21,03802,Dom Pedro,22897
GO,52,00175,Água Fria de Goiás,5560
SC,42,15554,Santa Helena,2288
MG,31,19005,Cordislândia,3580
MS,50,04502,Itaporã,23220
BA,29,26707,Rio de Contas,13581
MS,50,07802,Selvíria,6469
SC,42,02438,Bocaina do Sul,3440
MG,31,55900,Rio Preto,5531
RS,43,04622,Capão Bonito do Sul,1764
PB,25,13356,Santa Inês,3595
ES,32,00706,Atilio Vivacqua,11335
PB,25,04850,Coxixola,1909
PR,41,27882,Tunas do Paraná,7767
BA,29,12806,Ibirapuã,8796
PA,15,07706,São Sebastião da Boa Vista,25540
MG,31,40308,Marliéria,4128
PA,15,02954,Eldorado do Carajás,32780
MG,31,00302,Abre Campo,13726
GO,52,01454,Aparecida do Rio Doce,2514
PB,25,03803,Caldas Brandão,5986
AL,27,09202,Traipu,27938
PR,41,20150,Porto Barreiro,3527
PI,22,08874,Ribeira do Piauí,4393
TO,17,21000,Palmas,279856
RO,11,01708,Urupá,13198
GO,52,08806,Goianira,40338
PR,41,28302,Uniflor,2604
BA,29,22300,Muritiba,30585
MA,21,05104,Icatu,26651
PE,26,09204,Maraial,11570
MG,31,55504,Rio Paranaíba,12431
SP,35,07456,Borebi,2548
RN,24,09100,Passa e Fica,12880
CE,23,09904,Pacujá,6186
MG,31,52709,Prados,8972
SP,35,40101,Pongaí,3494
RS,43,16758,Santa Clara do Sul,6235
MG,31,31158,Ipaba,18225
TO,17,11100,Itaporã do Tocantins,2470
SP,35,16101,Florínia,2778
PE,26,08206,Joaquim Nabuco,16004
MA,21,11029,São João do Carú,15483
SP,35,56503,Várzea Paulista,117772
MG,31,08305,Borda da Mata,18873
MT,51,04500,Indiavaí,2624
MA,21,09007,Porto Franco,23511
PE,26,02100,Bom Conselho,47991
RS,43,19737,São Valério do Sul,2756
CE,23,06553,Itarema,40822
PB,25,07002,Itaporanga,24674
SP,35,11102,Catanduva,120092
TO,17,06001,Couto Magalhães,5477
RJ,33,05000,São João da Barra,34884
MG,31,07703,Bom Jesus do Amparo,5972
SP,35,32207,Narandiba,4702
PE,26,11200,Poção,11266
TO,17,06506,Darcinópolis,5912
SP,35,45159,Saltinho,7919
MA,21,07704,Paraibano,21008
RJ,33,04557,Rio de Janeiro,6498837
BA,29,13606,Ilhéus,178210
GO,52,04557,Caldazinha,3664
MG,31,26604,Francisco Dumont,5188
MA,21,04073,Feira Nova do Maranhão,8347
MG,31,32602,Itamarati de Minas,4340
RS,43,22202,Tupanciretã,23615
MT,51,03809,Figueirópolis D'Oeste,3492
GO,52,11701,Jandaia,6263
PR,41,03479,Cafezal do Sul,4266
PE,26,16209,Vertentes,20222
SC,42,05308,Faxinal dos Guedes,10758
MT,51,08857,Nova Marilândia,3133
GO,52,04904,Campos Belos,19665
PB,25,05907,Emas,3507
RS,43,00851,Arambaré,3755
MG,31,60504,Santo Antônio do Rio Abaixo,1815
SC,42,11801,Ouro,7381
PI,22,06654,Morro Cabeça no Tempo,4070
MG,31,61809,São Gonçalo do Pará,11823
MT,51,06778,Porto Alegre do Norte,11837
PA,15,01451,Belterra,17145
SP,35,01400,Álvaro de Carvalho,5075
TO,17,02208,Araguatins,34810
BA,29,17300,Ituberá,29273
SP,35,22158,Itaóca,3339
PB,25,09206,Massaranduba,13755
MG,31,20151,Crisólita,6579
RS,43,21808,Três de Maio,24491
PE,26,04908,Cumaru,12332
RS,43,14175,Pedras Altas,2181
PR,41,23907,Santa Mariana,12369
SC,42,01505,Armazém,8431
PE,26,05608,Flores,22577
GO,52,19753,Santo Antônio do Descoberto,70950
PA,15,00701,Anajás,28012
RS,43,18507,São José do Norte,27095
PR,41,10706,Irati,60070
CE,23,13005,Solonópole,18127
PA,15,01105,Bagre,29065
SP,35,36307,Patrocínio Paulista,14223
SC,42,14003,Presidente Getúlio,16736
MA,21,12001,Tasso Fragoso,8382
RR,14,00472,Rorainópolis,27756
RS,43,14076,Passo do Sobrado,6402
RN,24,05504,Jardim de Angicos,2666
PR,41,09807,Ibiporã,52848
MT,51,06158,Nova Bandeirantes,14106
MG,31,70305,Umburatiba,2718
RN,24,10900,Riachuelo,7970
SP,35,52205,Sorocaba,652481
MG,31,05400,Barão de Cocais,31628
SP,35,48203,Santo Antônio do Pinhal,6784
MT,51,06273,Novo Horizonte do Norte,3862
TO,17,13601,Monte do Carmo,7654
PR,41,23956,Santa Mônica,3882
PI,22,02778,Colônia do Piauí,7532
MG,31,20607,Crucilândia,5036
GO,52,05307,Cavalcante,9803
SP,35,01152,Alumínio,18194
RS,43,09555,Harmonia,4630
SP,35,03505,Areias,3869
MG,31,59407,Santa Rita de Ibitipoca,3580
SP,35,37404,Pereira Barreto,25779
GO,52,12006,Jaupaci,3014
MA,21,13009,Vitorino Freire,30897
MG,31,55207,Rio Espera,5876
MA,21,09759,Santa Filomena do Maranhão,7645
SP,35,54003,Tatuí,117823
BA,29,08200,Conceição da Feira,22840
PA,15,02103,Cametá,132515
GO,52,11800,Jaraguá,47513
SP,35,49508,São José da Bela Vista,8854
GO,52,07352,Edealina,3811
MG,31,14709,Carvalhópolis,3563
SE,28,03906,Malhador,12645
PR,41,03354,Braganey,5714
MA,21,09502,Riachão,19771
PR,41,15309,Mariópolis,6612
MG,31,10103,Caiana,5398
RS,43,20578,Sete de Setembro,2123
MT,51,00805,Apiacás,9551
ES,32,03304,Mantenópolis,15272
RJ,33,03500,Nova Iguaçu,797435
SC,42,19507,Xanxerê,49057
PB,25,10501,Olivedos,3916
MG,31,45307,Novo Cruzeiro,31844
SP,35,22109,Itanhaém,97439
SP,35,44251,Rosana,18124
GO,52,18052,Porteirão,3715
SC,42,13401,Ponte Serrada,11499
RO,11,00064,Colorado do Oeste,18639
RS,43,15602,Rio Grande,208641
CE,23,00507,Alcântaras,11391
PB,25,14552,São José de Princesa,3897
BA,29,00207,Abaré,19939
PR,41,04105,Campo do Tenente,7762
RS,43,00109,Agudo,17102
RJ,33,03955,Pinheiral,24076
RR,14,00233,Caroebe,9331
PE,26,09402,Moreno,61577
RN,24,07252,Major Sales,3955
BA,29,10727,Eunápolis,114275
MG,31,58300,Santana da Vargem,7336
PE,26,10608,Paudalho,55493
MG,31,49507,Pequeri,3335
RS,43,10462,Ipiranga do Sul,1978
PI,22,09401,Santo Antônio de Lisboa,6270
SC,42,05605,Galvão,3137
PE,26,07109,Ingazeira,4549
SP,35,49706,São José do Rio Pardo,54563
GO,52,19001,Sanclerlândia,7791
PR,41,07702,Fênix,4903
MG,31,29806,Ibirité,175721
SC,42,19358,Vitor Meireles,5089
SP,35,35507,Paraguaçu Paulista,45027
MG,31,33303,Itaobim,21562
BA,29,20601,Maragogipe,46106
MG,31,27107,Frutal,58295
MG,31,11705,Canaã,4706
PB,25,14651,São José do Brejo do Cruz,1793
SC,42,00754,Alto Bela Vista,1977
SC,42,12205,Papanduva,18905
PE,26,16100,Verdejante,9471
CE,23,11009,Poranga,12234
MG,31,33402,Itapagipe,14916
GO,52,21551,Turvelândia,4978
MG,31,54903,Rio Casca,14187
MG,31,70578,Vargem Alegre,6633
PR,41,07306,Doutor Camargo,6058
MG,31,45802,Onça de Pitangui,3186
PE,26,00708,Aliança,38261
BA,29,24652,Pintadas,11036
MG,31,62955,São José da Lapa,22592
PA,15,08050,Trairão,18280
BA,29,06006,Campo Formoso,73118
MA,21,07001,Montes Altos,8955
SC,42,14300,Rancho Queimado,2860
MA,21,02358,Buritirana,15142
RS,43,03004,Cachoeira do Sul,85600
SP,35,51306,Sebastianópolis do Sul,3373
GO,52,05802,Corumbá de Goiás,11024
SC,42,15356,Saltinho,3872
SP,35,22901,Itapuí,13475
SP,35,27207,Lorena,87584
SE,28,05307,Pirambu,9153
PR,41,04428,Candói,15901
SC,42,15679,Santa Terezinha,8855
PI,22,06803,Nossa Senhora dos Remédios,8521
MA,21,04677,Governador Nunes Freire,25052
PR,41,04253,Campo Magro,27884
PR,41,17453,Ouro Verde do Oeste,6000
TO,17,20804,Sítio Novo do Tocantins,9217
SP,35,52106,Socorro,39896
GO,52,06909,Davinópolis,2130
SC,42,04004,Catanduvas,10503
BA,29,32903,Valença,98053
AL,27,00706,Batalha,18631
PR,41,20200,Porto Rico,2610
PB,25,12747,Riachão,3570
MT,51,03403,Cuiabá,585367
MG,31,36603,Nova União,5792
BA,29,06600,Candiba,14732
GO,52,08103,Formoso,4674
PB,25,13505,Santana de Mangueira,5191
SP,35,52601,Tabapuã,12178
AM,13,02702,Manicoré,53890
TO,17,20150,São Félix do Tocantins,1559
MG,31,13701,Carlos Chagas,19857
ES,32,03130,João Neiva,17096
PR,41,17909,Palotina,31115
RS,43,05447,Chuvisca,5292
PB,25,04306,Catolé do Rocha,30360
PI,22,06050,Massapê do Piauí,6332
PE,26,07901,Jaboatão dos Guararapes,691125
PE,26,03405,Calumbi,5741
RS,43,06601,Dom Pedrito,39853
PI,22,02133,Campo Grande do Piauí,5823
BA,29,03904,Bom Jesus da Lapa,70090
MG,31,13503,Carbonita,9526
SP,35,08405,Cabreúva,47210
PE,26,07653,Itambé,36299
SP,35,17307,Guaimbê,5717
GO,52,00050,Abadia de Goiás,8053
ES,32,02108,Ecoporanga,24243
MG,31,65008,São Tiago,11046
BA,29,09505,Cravolândia,5568
SP,35,31605,Monte Castelo,4189
ES,32,04658,São Domingos do Norte,8764
SP,35,13850,Dirce Reis,1779
RS,43,21709,Três Coroas,26348
PI,22,11001,Teresina,847430
BA,29,23209,Oliveira dos Brejinhos,22789
BA,29,29404,São Miguel das Matas,12051
SP,35,30706,Mogi Guaçu,148327
SE,28,00209,Aquidabã,21452
AM,13,00029,Alvarães,15729
SP,35,56404,Vargem Grande do Sul,42061
SP,35,08207,Buritizal,4377
RS,43,08854,Gentil,1708
GO,52,13103,Mineiros,61623
RS,43,08458,Fortaleza dos Valos,4603
ES,32,04906,São Mateus,126437
PR,41,28559,Vera Cruz do Oeste,8958
PB,25,11707,Pilõezinhos,5099
TO,17,16653,Pequizeiro,5418
MT,51,03361,Conquista D'Oeste,3799
PE,26,06309,Granito,7363
RS,43,12450,Morro Redondo,6548
GO,52,03906,Buriti Alegre,9501
PB,25,02706,Borborema,5399
PA,15,08357,Vitória do Xingu,14566
MT,51,07578,Rondolândia,3823
BA,29,21500,Monte Santo,52015
MG,31,10202,Cajuri,4114
RS,43,14779,Pontão,3988
SP,35,55703,União Paulista,1773
PR,41,28401,Uraí,11678
SP,35,54656,Torre de Pedra,2385
RS,43,15156,Progresso,6376
MG,31,64605,São Sebastião do Oeste,6512
RO,11,00700,Campo Novo de Rondônia,14354
MA,21,10237,Santana do Maranhão,13199
BA,29,30303,Serra Dourada,18352
AM,13,01654,Guajará,16085
RS,43,05900,Coronel Bicaco,7801
SC,42,17303,Saudades,9594
SP,35,02606,Aparecida d'Oeste,4362
MA,21,00832,Apicum-Açu,18169
PA,15,02004,Cachoeira do Arari,22786
RJ,33,01850,Guapimirim,57105
SC,42,12700,Petrolândia,6051
MG,31,64431,São Sebastião da Vargem Alegre,2990
CE,23,08609,Monsenhor Tabosa,17025
BA,29,29255,São Gabriel,19594
AL,27,01357,Campestre,7002
PB,25,04108,Carrapateira,2635
RS,43,21105,Tapes,17390
MA,21,04206,Fortuna,15251
SE,28,00407,Arauá,10467
PA,15,08100,Tucuruí,108885
SE,28,05703,Propriá,29745
CE,23,05803,Ipu,41485
TO,17,00301,Aguiarnópolis,6307
RS,43,00703,Anta Gorda,6216
MG,31,14501,Carmópolis de Minas,18812
PE,26,11903,Rio Formoso,23282
PR,41,14500,Manoel Ribas,13684
SC,42,13005,Pinheiro Preto,3438
MG,31,45109,Nova Resende,16540
SC,42,15901,São Bonifácio,2922
RO,11,00809,Candeias do Jamari,24719
MG,31,42205,Miraí,14852
MG,31,25507,São Gonçalo do Rio Preto,3197
PA,15,08308,Viseu,59401
PE,26,02308,Bonito,38069
SP,35,44202,Riolândia,11928
MG,31,12604,Capinópolis,16183
CE,23,10902,Piquet Carneiro,16599
MG,31,31505,Ipuiúna,10082
MG,31,20300,Cristália,6026
ES,32,02900,Itarana,11259
PR,41,05508,Cianorte,78553
SC,42,00408,Água Doce,7143
BA,29,28950,São Domingos,9381
RS,43,12054,Marques de Souza,4163
BA,29,27903,Santa Inês,11169
SP,35,44905,Sales Oliveira,11541
RS,43,05871,Coronel Barros,2556
PE,26,07950,Jaqueira,11649
MT,51,06216,Nova Canaã do Norte,12355
RJ,33,00100,Angra dos Reis,191504
AM,13,03809,São Gabriel da Cachoeira,43831
RS,43,22301,Tuparendi,8533
MG,31,17405,Conceição de Ipanema,4636
SP,35,19808,Icém,8055
SP,35,04404,Avanhandava,12918
MG,31,71600,Virgem da Lapa,14037
SC,42,07650,Iporã do Oeste,8876
SP,35,40705,Porto Ferreira,55100
CE,23,01851,Banabuiú,17968
MT,51,07776,Santa Terezinha,7967
PA,15,05437,Ourilândia do Norte,31359
RS,43,19372,São Pedro do Butiá,2987
SP,35,24808,Jales,49017
MG,31,40704,Mateus Leme,30423
SP,35,15194,Espírito Santo do Turvo,4668
PR,41,09708,Ibaiti,30888
SP,35,22653,Itapirapuã Paulista,4161
BA,29,20502,Maracás,23373
SC,42,06751,Ibiam,1968
PB,25,17100,Várzea,2784
RO,11,00080,Costa Marques,17031
TO,17,18006,Porto Alegre do Tocantins,3071
PB,25,06509,Gurjão,3407
SC,42,02578,Bom Jesus do Oeste,2153
RN,24,02808,Coronel Ezequiel,5590
RS,43,13425,Novo Machado,3791
MG,31,67400,Silvianópolis,6299
MG,31,18502,Consolação,1807
SP,35,14957,Embaúba,2479
TO,17,14302,Nazaré,4118
PA,15,05700,Ponta de Pedras,29700
PI,22,02653,Caxingó,5306
PR,41,26306,Sengés,19373
PR,41,16901,Nova Esperança,27986
RS,43,09803,Ibiaçá,4847
SP,35,39301,Pirassununga,75035
BA,29,18902,Lajedão,4046
MG,31,62252,São João da Lagoa,4922
RS,43,03806,Campinas do Sul,5645
SC,42,12908,Pinhalzinho,19105
MG,31,58904,Santana do Manhuaçu,8849
RS,43,11700,Machadinho,5645
SP,35,24204,Jaborandi,6900
MS,50,05152,Juti,6476
PI,22,01770,Boa Hora,6633
SC,42,14904,Rio Fortuna,4594
MG,31,24203,Espera Feliz,24641
MT,51,08204,Torixoréu,3644
MG,31,14907,Casa Grande,2309
RS,43,22343,Ubiretama,2248
PE,26,08404,Jurema,15229
PI,22,10904,Socorro do Piauí,4506
RS,43,11981,Mariana Pimentel,3926
RS,43,00901,Aratiba,6621
MA,21,04057,Estreito,41397
PR,41,22008,Rio Azul,15112
RS,43,22152,Tunas,4595
MA,21,11631,São Raimundo do Doca Bezerra,5082
RS,43,01206,Arroio do Tigre,13353
SP,35,15806,Flora Rica,1602
BA,29,08804,Contendas do Sincorá,4312
MS,50,07109,Ribas do Rio Pardo,23526
RS,43,21469,Tio Hugo,2930
SP,35,02507,Aparecida,36248
GO,52,10208,Iporá,32218
MG,31,07000,Biquinhas,2630
BA,29,30709,Simões Filho,134674
BA,29,23050,Novo Triunfo,16016
SC,42,18251,Timbó Grande,7699
SP,35,00402,Águas da Prata,8065
PE,26,08305,Jupi,14620
RS,43,22509,Vacaria,65135
RS,43,06205,Cruzeiro do Sul,12215
BA,29,33059,Várzea da Roça,14632
PI,22,09005,Rio Grande do Piauí,6330
MG,31,50109,Piau,2859
GO,52,18508,Quirinópolis,47950
AL,27,05903,Olho d'Água Grande,5187
MT,51,01407,Aripuanã,21011
BA,29,25402,Potiraguá,8694
PI,22,05300,Jerumenha,4388
MG,31,32909,Itamogi,10517
MG,31,50901,Piranguçu,5495
PB,25,10204,Nova Olinda,5971
RO,11,00338,Nova Mamoré,28255
BA,29,28208,Santana,27381
PE,26,01805,Betânia,12589
MA,21,08900,Poção de Pedras,17384
PR,41,09005,Guapirama,3942
MG,31,61007,São Domingos do Prata,17792
PR,41,13106,Kaloré,4402
GO,52,09606,Heitoraí,3744
CE,23,06207,Itaiçaba,7698
